title,authors,year,venue,doi,url
Action2Sound: Ambient-Aware Generation of Action Sounds from Egocentric Videos,"Changan Chen, Puyuan Peng, Ami Baid, Zihui Xue, Wei-Ning Hsu, David Harwath, Kristen Grauman",2024,European Conference on Computer Vision,,https://www.semanticscholar.org/paper/27ee3e441f27bbfe02f0bd60b55decf4247870ac
Adding Conditional Control to Text-to-Image Diffusion Models,,,,,
Advancing Manga Analysis: Comprehensive Segmentation Annotations for the Manga109 Dataset,,,,,
AgileGAN: Stylizing Portraits by Inversion-Consistent Transfer Learning,Linjie Luo,2021,,,https://www.semanticscholar.org/paper/9abde733335c31f60e30d9d3c476488e22788ac7
Alchemist: Parametric Control of Material Properties with Diffusion Models,"Prafull Sharma, Varun Jampani, Yuanzhen Li, Xuhui Jia, Dmitry Lagun, Frédo Durand, William T. Freeman, Mark J. Matthews",2023,Computer Vision and Pattern Recognition,,https://www.semanticscholar.org/paper/650fb3919a5bde39ed120b36234f5ab9ac1fab0b
Algorithms for Estimation of Comic Speakers Considering Reading Order of Frames and Texts,,,,,
Aligning Anime Video Generation with Human Feedback,"Bingwen Zhu, Yudong Jiang, Baohan Xu, Siqian Yang, Mingyu Yin, Yidi Wu, Huyang Sun, Zuxuan Wu",2025,arXiv.org,,https://www.semanticscholar.org/paper/88345d7ce1016cf241694367e1d3b62d37db0a7e
Alleviating Semantics Distortion in Unsupervised Low-Level Image-to-Image Translation via Structure Consistency Constraint,"Jiaxian Guo, Jiacheng Li, Huan Fu, Mingming Gong, Kun Zhang, Dacheng Tao",2022,Computer Vision and Pattern Recognition,,https://www.semanticscholar.org/paper/567d870c4c049e77fd936435c1af46292fc36594
An Adaptive Control Algorithm for Stable Training of Generative Adversarial Networks,"Xiaohan Ma, Rize Jin, Kyung-ah Sohn, Joon-Young Paik, Tae-Sun Chung",2019,IEEE Access,,https://www.semanticscholar.org/paper/6ea6c39593853a5382ee975a0b7bb8222227a6cc
An Evaluation of Traditional and CNN-Based Feature Descriptors for Cartoon Pornography Detection,,,,,
Analysis Based on Distributed Representations of Various Parts Images in Four-Scene Comics Story Dataset,,,,,
AniDoc: Animation Creation Made Easier,"Yihao Meng, Ouyang Hao, Hanlin Wang, Qiuyu Wang, Wen Wang, Ka Leong Cheng, Zhiheng Liu, Yujun Shen, Huamin Qu",2024,Computer Vision and Pattern Recognition,,https://www.semanticscholar.org/paper/95c7b164bc149215b62adb974762e20eb637d46f
AniFaceDrawing: Anime Portrait Exploration during Your Sketching,,,,,
AniGAN: Style-Guided Generative Adversarial Networks for Unsupervised Anime Face Generation,,,,,
Anim-400K: A Large-Scale Dataset for Automated End to End Dubbing of Video,"Kevin Cai, Chonghua Liu, David M. Chan",2024,"IEEE International Conference on Acoustics, Speech, and Signal Processing",,https://www.semanticscholar.org/paper/c44705e285b48e4a0634c78ff51d11152c422896
Anim-Director: A Large Multimodal Model Powered Agent for Controllable Animation Video Generation,,,,,
Animate Anyone: Consistent and Controllable Image-to-Video Synthesis for Character Animation,"Liucheng Hu, Xin Gao, Peng Zhang, Ke Sun, Bang Zhang, Liefeng Bo",2023,Computer Vision and Pattern Recognition,,https://www.semanticscholar.org/paper/c8dc4af5c61f95cc79b7f83e8339efa62af8f811
Animate-A-Story: Storytelling with Retrieval-Augmented Video Generation,,,,,
Animate-X: Universal Character Image Animation with Enhanced Motion Representation,,,,,
AnimateDiff-Lightning: Cross-Model Diffusion Distillation,,,,,
Animation Anycolor: Enhancing Line Drawing Colorization with Keypoint Matching,"Liyao Wang, Zuzen Lin, Danni Wu, Zihao Yu, Suzhe Zhang, Zixian Wu, Feng Wang",2025,"IEEE International Conference on Acoustics, Speech, and Signal Processing",,https://www.semanticscholar.org/paper/88214a843a3a8123e7a43fc0f891d40c07a7ae05
"Pattern recognition and image analysis : first Iberian Conference, IbPRIA 2003, Puerto de Andratx, Mallorca, Spain, June 4-6, 2003 : proceedings","IbPRIA, F. Perales, A. Campilho, N. P. D. L. Blanca, A. Sanfeliu",2003,,,https://www.semanticscholar.org/paper/32c29fa63c90be916b2ba18e8f1c09ca28385b09
Anime Character Colorization using Few-shot Learning,,,,,
Anime-like Character Face Generation: A Survey,Xuanfei Li,2023,Highlights in Science Engineering and Technology,,https://www.semanticscholar.org/paper/17dde4ed880fa50fab4a8dd172517795c465b1ed
Anime Sketch Coloring with Swish-gated Residual U-net and Spectrally Normalized GAN,,,,,
Anime Sketch Colorization by Component-based Matching using Deep Appearance Features and Graph Representation,"Thien-Di Do, Van Pham, Anh Nguyen, Trung D. Q. Dang, Quoc Nguyen, Bach Hoang, Giao Nguyen",2021,International Conference on Pattern Recognition,,https://www.semanticscholar.org/paper/5b0a18a63966400c1f537babd5d29f928cf3acf2
Anime Style Space Exploration Using Metric Learning and Generative Adversarial Networks,"Sitao Xiang, Hao Li",2018,arXiv.org,,https://www.semanticscholar.org/paper/f8d1c807960decf887f533b862a16ec2512413e8
Anime Style Transfer With Spatially-Adaptive Normalization,"Junjian Lian, Jinrong Cui",2021,IEEE International Conference on Multimedia and Expo,,https://www.semanticscholar.org/paper/0d33f87b98d9bf32c0b87defcb04f7939da68199
Anime-to-Real Clothing: Cosplay Costume Generation via Image-to-Image Translation,,,,,
AnimeCeleb: Large-Scale Animation CelebHeads Dataset for Head Reenactment,"Kangyeol Kim, S. Park, Jaeseong Lee, Sunghyo Chung, Junsoo Lee, J. Choo",2021,European Conference on Computer Vision,,https://www.semanticscholar.org/paper/3b4d84846103c89fde392e35504e85c0bcf23071
AnimeColor: Reference-based Animation Colorization with Diffusion Transformers,"Yuhong Zhang, Liyao Wang, Han Wang, Danni Wu, Zuzen Lin, Feng Wang, Li Song",2025,,,https://www.semanticscholar.org/paper/ee77e4ca97b26ad4c543dabd669ee6ac51f89c44
AnimeDiffusion: Anime Face Line Drawing Colorization via Diffusion Models,"Yu Cao, Xiangqiao Meng, P. Y. Mok, Xueting Liu, Tong-Yee Lee, Ping Li",2023,arXiv.org,,https://www.semanticscholar.org/paper/07f82bc9f6380c1a74503980da98fa188712a9b0
AnimeDL-2M: Million-Scale AI-Generated Anime Image Detection and Localization in Diffusion Era,,,,,
AnimeGamer: Infinite Anime Life Simulation with Next Game State Prediction,,,,,
AnimeGAN: A Novel Lightweight GAN for Photo Animation,"Jie Chen, Gang Liu, Xin Chen",2019,International Symposium on Intelligence Computation and Applications,,https://www.semanticscholar.org/paper/10a9c5d183e7e7df51db8bfa366bc862262b37d7
AnimeRun: 2D Animation Visual Correspondence from Open Source 3D Movies,,,,,
AnimeShooter: A Multi-Shot Animation Dataset for Reference-Guided Video Generation,,,,,
AnimeSR: Learning Real-World Super-Resolution Models for Animation Videos,,,,,
AniSora: Exploring the Frontiers of Animation Video Generation in the Sora Era,"Yudong Jiang, Baohan Xu, Siqian Yang, Mingyu Yin, Jing Liu, Chao Xu, Siqi Wang, Yidi Wu, Bingwen Zhu, Xinwen Zhang, Xingyu Zheng, Jixuan Xu, Yue Zhang, Jinlong Hou, Huyang Sun",2024,arXiv.org,,https://www.semanticscholar.org/paper/4ab32a98b6574d67fb1636ace5c9b3be4cd052c5
Anita Dataset: An Industrial Animation Dataset ,,,,,
AniWho : A Quick and Accurate Way to Classify Anime Character Faces in Images,"Martinus Grady Naftali, Jason Sebastian Sulistyawan, Kelvin Julian, Felix Indra Kurniadi",2022,arXiv.org,,https://www.semanticscholar.org/paper/ab4d5bf855eafdb78db8c9c9bb61097b3cf36f2b
APISR: Anime Production Inspired Real-World Anime Super-Resolution,"Boyang Wang, Fengyu Yang, Xihang Yu, Chao Zhang, Han Zhao",2024,Computer Vision and Pattern Recognition,,https://www.semanticscholar.org/paper/bb1bad396497834f2adc2ff33db497b78c3d368a
Appearance-Preserved Portrait-to-Anime Translation via Proxy-Guided Domain Adaptation,"Wenpeng Xiao, Cheng Xu, Jiajie Mai, Xuemiao Xu, Yue Li, Chengze Li, Xueting Liu, Shengfeng He",2022,IEEE Transactions on Visualization and Computer Graphics,,https://www.semanticscholar.org/paper/1207a78f7acfad4a1eec619ce5031528184408ad
ARGAN: Fast Converging GAN for Animation Style Transfer,"Amirhossein Douzandeh Zenoozi, K. Navi, Babak Majidi",2022,Iranian Conference on Machine Vision and Image Processing,,https://www.semanticscholar.org/paper/d4031c3108e285b5429e93df46d0daa3cbc41513
Artist-Guided Semiautomatic Animation Colorization,"Harrish Thasarathan, Mehran Ebrahimi",2019,2019 IEEE/CVF International Conference on Computer Vision Workshop (ICCVW),,https://www.semanticscholar.org/paper/bbc37cf2c5f78199bf358ccbad64ce3298f60c09
ATTENTION-AWARE ANIME LINE DRAWING COLORIZATION,,,,,
Unsupervised anime avatar sketch colorization based on reuse discriminators for encoding,"Sicong Zhang, Jiting Zhou",2022,Other Conferences,,https://www.semanticscholar.org/paper/5c9b3ab35f7efc114f6f162392f7bb861bc2e2fb
Attentioned Deep Paint,,,,,
AttentionGAN: Unpaired Image-to-Image Translation Using Attention-Guided Generative Adversarial Networks,"Hao Tang, Hong Liu, Dan Xu, Philip H. S. Torr, N. Sebe",2019,IEEE Transactions on Neural Networks and Learning Systems,,https://www.semanticscholar.org/paper/3cf10c7c6f65ec45a9ed58b7a8ca7210cba8ac27
Augmenting Conversations With Comic-Style Word Balloons,,,,,
Augmenting Hand-Drawn Art with Global Illumination Effects through Surface Inflation,"Matis Hudon, Sebastian Lutz, R. Pagés, A. Smolic",2019,European Conference on Visual Media Production,,https://www.semanticscholar.org/paper/8e260c8ba76a1338a34ef2356aea2ba4eb42d860
AugNet: End-to-End Unsupervised Visual Representation Learning with Image Augmentation,,,,,
Auto-Encoding for Shared Cross Domain Feature Representation and Image-to-Image Translation,S. Pal,2020,arXiv.org,,https://www.semanticscholar.org/paper/1eb325b5da66936b29916984713b3bab8cba21a2
Auto-painter: Cartoon image generation from sketch by using conditional Wasserstein generative adversarial networks,"Yifan Liu, Zengchang Qin, T. Wan, Zhenbo Luo",2018,Neurocomputing,,https://www.semanticscholar.org/paper/252a2d2a2c99ae33cca1435e0441c5ea556fac71
Class-Conditional Defense GAN Against End-To-End Speech Attacks,"Mohammad Esmaeilpour, P. Cardinal, Alessandro Lameiras Koerich",2020,"IEEE International Conference on Acoustics, Speech, and Signal Processing",,https://www.semanticscholar.org/paper/0ae4c05b1ce74c588b8e417c26abc6ecbdbd5e8b
Automatic Animation Inbetweening,,,,,
Automatic Colorization of Anime Style Illustrations Using a Two-Stage Generator,"Yeongseop Lee, Seongjin Lee",2020,Applied Sciences,,https://www.semanticscholar.org/paper/8e8b0174dabf6548f9bbf8050cfd0ee63bc999d6
Automatic Comic Generation with Stylistic Multi-page Layouts and Emotion-driven Text Balloon Generation,,,,,
Automatic Comic Strip Generation Using Extracted Keyframes from Cartoon Animation,,,,,
Automatic Dewarping of Camera-Captured Comic Document Images,,,,,
Automatic Generation of 3D Natural Anime-like Non-Player Characters with Machine Learning,"Ruizhe Li, Masanori Nakayama, I. Fujishiro",2020,International Conference on Cyberworlds,,https://www.semanticscholar.org/paper/a7452bb7a738041b57cc17b8835721fc39a58245
Automatic Illumination Effects for 2D Characters,,,,,
Automatic Illumination of Flat-Colored Drawings by 3D Augmentation of 2D Silhouettes,,,,,
Automatic manga colorization with color style by generative adversarial nets,,,,,
Automatic Preview Generation of Comic Episodes for Digitized Comic Search,,,,,
Automatic Sketch Colorization with Tandem Conditional Adversarial Networks,,,,,
Automatic Stylistic Manga Layout,,,,,
Automatic Temporally Coherent Video Colorization,,,,,
BCBId: First Bangla Comic Dataset and Its Applications,,,,,
What counts as success? The perspective of university-based researchers on their role in a school-university partnership,"V. Baumfield, Moira Hulme, F. Payne",2010,,,https://www.semanticscholar.org/paper/1077ec3e7bf1a9f82fcefbefdae5c655922076e6
Building a Manga Dataset “Manga109” With Annotations for Multimedia Applications,"K. Aizawa, Azuma Fujimoto, Atsushi Otsubo, Toru Ogawa, Yusuke Matsui, Koki Tsubota, Hikaru Ikuta",2020,IEEE Multimedia,,https://www.semanticscholar.org/paper/94e8552a494cc9ecc3bdde757b8ed6899491d70c
C2VNet: A Deep Learning Framework Towards Comic Strip to Audio-Visual Scene Synthesis,"Vaibhav Gupta, Vinay Detani, Vivek Khokar, Chiranjoy Chattopadhyay",2021,IEEE International Conference on Document Analysis and Recognition,,https://www.semanticscholar.org/paper/a7873db3678c8dade120cea27019e674fb2ebe67
CameraCtrl: Enabling Camera Control for Text-to-Video Generation,"Hao He, Yinghao Xu, Yuwei Guo, Gordon Wetzstein, Bo Dai, Hongsheng Li, Ceyuan Yang",2024,arXiv.org,,https://www.semanticscholar.org/paper/3fc6184c72fd55b67409ef87493c333f15a33180
Caricaturation for Human Face Pictures,,,,,
Cartoon Face Recognition: A Benchmark Dataset,,,,,
Cartoon image colorization based on emotion recognition and superpixel color resolution,"Zhibin Su, Yun-fang Zhang, Jia Li, Nan Gao",2020,International Carnahan Conference on Security Technology,,https://www.semanticscholar.org/paper/11f4f48402b15768dc449c41969cc6c2f9a58154
Cartoon Image Processing: A Survey,,,,,
Cartoon-Flow: A Flow-Based Generative Adversarial Network for Arbitrary-Style Photo Cartoonization,,,,,
CartoonGAN: Generative Adversarial Networks for Photo Cartoonization,,,,,
Cartoonize Images using TinyML Strategies with Transfer Learning,"Jashaswimalya Acharjee, S. Deb",2021,"2021 International Conference on Innovation and Intelligence for Informatics, Computing, and Technologies (3ICT)",,https://www.semanticscholar.org/paper/289b42743616a8a9945085137ce64d13714d1527
CartoonRenderer: An Instance-based Multi-Style Cartoon Image Translator,"Yugang Chen, Muchun Chen, Chaoyue Song, Bingbing Ni",2019,Conference on Multimedia Modeling,,https://www.semanticscholar.org/paper/600b9eced5b9c399cf510dd3d908e97a61fd325f
CAST: Character labeling in Animation using Self‐supervision by Tracking,"O. Nir, Gal Rapoport, Ariel Shamir",2022,Computer graphics forum (Print),,https://www.semanticscholar.org/paper/5953a485aaf16ef5d3b6e5f0be5c009064a8aba8
CAST: Character labeling in Animation using Self‐supervision by Tracking,"O. Nir, Gal Rapoport, Ariel Shamir",2022,Computer graphics forum (Print),,https://www.semanticscholar.org/paper/5953a485aaf16ef5d3b6e5f0be5c009064a8aba8
cGAN-based Manga Colorization Using a Single Training Image,,,,,
Challenges in Procedural Multimodal Machine Comprehension: A Novel Way To Benchmark,"Pritish Sahu, Karan Sikka, Ajay Divakaran",2021,IEEE Workshop/Winter Conference on Applications of Computer Vision,,https://www.semanticscholar.org/paper/49f802f99abf9595b79ece192ba1eb31c9c9ab8c
Champ: Controllable and Consistent Human Image Animation with 3D Parametric Guidance,,,,,
Character-centric Story Visualization via Visual Planning and Token Alignment,"Hong Chen, Rujun Han, Te-Lin Wu, Hideki Nakayama, Nanyun Peng",2022,Conference on Empirical Methods in Natural Language Processing,,https://www.semanticscholar.org/paper/a6238191cc43c41a544caadcf8b00947293cf099
"ChartStory: Automated Partitioning, Layout, and Captioning of Charts into Comic-Style Narratives","Jian Zhao, Shenyu Xu, Senthil K. Chandrasegaran, Chris Bryan, F. Du, Aditi Mishra, Xin Qian, Yiran Li, K. Ma",2021,IEEE Transactions on Visualization and Computer Graphics,,https://www.semanticscholar.org/paper/1e1d18fb0647676dafd4b5d1ece61a3eb0aee28c
Classification Representations Can be Reused for Downstream Generations,,,,,
Closed-Form Factorization of Latent Semantics in GANs,"Yujun Shen, Bolei Zhou",2020,Computer Vision and Pattern Recognition,,https://www.semanticscholar.org/paper/dc0092d06ab76465431edfd51b08d823b7d1ff3f
CNN Based Extraction of Panels/Characters from Bengali Comic Book Page Images,"Arpita Dutta, Samit Biswas",2019,2019 International Conference on Document Analysis and Recognition Workshops (ICDARW),,https://www.semanticscholar.org/paper/fad944dbb3edbc6a52a220e9ba5ba1c2dbe86985
Cobra: Efficient Line Art COlorization with BRoAder References,"Junhao Zhuang, Lingen Li, Xu Ju, Zhaoyang Zhang, Chun Yuan, Ying Shan",2025,Proceedings of the Special Interest Group on Computer Graphics and Interactive Techniques Conference Conference Papers,,https://www.semanticscholar.org/paper/f92579d95f4d0f241a2702df1db7d0d46c7d2fc0
"CodeToon: Story Ideation, Auto Comic Generation, and Structure Mapping for Code-Driven Storytelling",,,,,
CogCartoon: Towards Practical Story Visualization,,,,,
Collaborative Neural Rendering using Anime Character Sheets,"Zuzeng Lin, Ailin Huang, Zhewei Huang, Chen Hu, Shuchang Zhou",2022,International Joint Conference on Artificial Intelligence,,https://www.semanticscholar.org/paper/19d0da9acb24374e2137b2d108c1611ae13ee9c1
Deep Watching: Towards New Methods of Analyzing Visual Media in Cultural Studies,"Bernhard Bermeitinger, S. Gassner, S. Handschuh, G. Howanitz, Erik Radisch, Malte Rehbein",2019,,,https://www.semanticscholar.org/paper/00c490585daa6bc849b8ea01e025aeaece28c9cd
Color Interpolation for Non-Euclidean Color Spaces,,,,,
ColorFlow: Retrieval-Augmented Image Sequence Colorization,,,,,
Coloring anime line art videos with transformation region enhancement network,"Ning Wang, Muyao Niu, Zhi Dou, Zhihui Wang, Zhiyong Wang, Zhaoyan Ming, B. Liu, Haojie Li",2023,Pattern Recognition,,https://www.semanticscholar.org/paper/f3cf4e11a630d2e8e22524ed76db684e649e8071
Colorization for Anime Sketches with Cycle Consistent Adversarial Network,"Guanghua Zhang, Mengnan Qu, Yuhao Jin, Qingpeng Song",2019,International Journal of Performability Engineering,,https://www.semanticscholar.org/paper/501e17cb84ed6ce077e098c8bc773ab972e2520b
Colorization of Line Drawings with Empty Pupils,"Kenta Akita, Yuki Morimoto, R. Tsuruno",2020,Computer graphics forum (Print),,https://www.semanticscholar.org/paper/ad8adbd99d50320789c06b5a6495b06b449efff0
ColorizeDiffusion v2: Enhancing Reference-based Sketch Colorization Through Separating Utilities,"Dingkun Yan, Xinrui Wang, Yusuke Iwasawa, Yutaka Matsuo, Suguru Saito, Jiaxian Guo",2025,arXiv.org,,https://www.semanticscholar.org/paper/8f983b49edbbd70c6db8d7675f9691de7f5c665b
ColorizeDiffusion: Adjustable Sketch Colorization with Reference Image and Text,,,,,
Combating Mode Collapse in GANs via Manifold Entropy Estimation,"Haozhe Liu, Bing Li, Haoqian Wu, Hanbang Liang, Yawen Huang, Yuexiang Li, Bernard Ghanem, Yefeng Zheng",2022,arXiv.org,,https://www.semanticscholar.org/paper/1e64b0d23d2ebdde9d92eeb407be0eb05fe9d14d
Comic Character Animation Using Bayesian Estimation,,,,,
Comic Image Inpainting via Distance Transform,"N. Ono, K. Aizawa, Yusuke Matsui",2021,SIGGRAPH Asia Technical Communications,,https://www.semanticscholar.org/paper/dbe464776c8f65c5f3d01b6d173d870b57e2db4a
Comic Live Chat communication tool based on concept of downgrading,"Misa Matsuda, I. Tanev, K. Shimohara",2010,Proceedings of SICE Annual Conference 2010,,https://www.semanticscholar.org/paper/cf5feba67fb89f9b904d568347ace0c44ce67c64
Comic MTL: Optimized Multi-Task Learning for Comic Book Image Analysis,,,,,
"Tekhnika Komicheskogo u Zoshchenko. By Mikhail Kreps. Benson, Vt: Chalidze, 1986. 244 pp.",I. Reyfman,1988,"Slavic Review: Interdisciplinary Quarterly of Russian, Eurasian, and East European Studies",,https://www.semanticscholar.org/paper/2d2de0ac59ce0a0d6d211292f2c1461066270581
Comic-guided speech synthesis,"Yujia Wang, Wenguan Wang, Wei Liang, L. Yu",2019,ACM Transactions on Graphics,,https://www.semanticscholar.org/paper/56de71e6223145f5608668b02157cf0fd60294fd
ComiCap: A VLMs pipeline for dense captioning of Comic Panels,"Emanuele Vivoli, Niccoló Biondi, Marco Bertini, Dimosthenis Karatzas",2024,ECCV Workshops,,https://www.semanticscholar.org/paper/35d014171635168973712f5b43da2e3e301cd670
ComicBERT: A Transformer Model and Pre-training Strategy for Contextual Understanding in Comics,"Gurkan Soykan, Deniz Yuret, T. M. Sezgin",2024,IEEE International Conference on Document Analysis and Recognition,,https://www.semanticscholar.org/paper/2cb1ee4878f4ca7fd52fb5033ced1f759c3b46cd
ComicGAN: Text-to-Comic Generative Adversarial Network,,,,,
ComicLib: A New Large-Scale Comic Dataset for Sketch Understanding,,2022,International Conference on Digital Image Computing: Techniques and Applications,,https://www.semanticscholar.org/paper/776c901d48d1fcb4a6475d0bd29c9fa416557b88
2-1 Colorization Techniques for Manga and Line Drawings; Comicolorization: Semi-Automatic Manga Colorization,Chie Furusawa,2018,,,https://www.semanticscholar.org/paper/0ddca7a222c7d0a083af914134593a95db49c2f8
ComicQA: Contextual Navigation Aid by Hyper-Comic Representation,,,,,
Comics as a Pedagogical Tool for Teaching,,,,,
Comics Datasets Framework: Mix of Comics datasets for detection benchmarking,"Emanuele Vivoli, Irene Campaioli, Mariateresa Nardoni, Niccoló Biondi, Marco Bertini, Dimosthenis Karatzas",2024,IEEE International Conference on Document Analysis and Recognition,,https://www.semanticscholar.org/paper/12ee5ce93a5fc4730dc98268aa08ce93db7d5134
Comics for Everyone: Generating Accessible Text Descriptions for Comic Strips,,,,,
CoMix: A Comprehensive Benchmark for Multi-Task Comic Understanding,"Emanuele Vivoli, Marco Bertini, Dimosthenis Karatzas",2024,Neural Information Processing Systems,,https://www.semanticscholar.org/paper/a6d5c67f048f9897ca1b8bd7333a37e201a90203
Comixify: Transform video into a comics,"Maciej Pesko, Adam Svystun, Pawel Andruszkiewicz, Przemyslaw Rokita, Tomasz Trzcinski",2018,arXiv.org,,https://www.semanticscholar.org/paper/4c81212a1ecca6b160631fea7f2a6cbff6f74012
ICDAR 2021 Competition on Multimodal Emotion Recognition on Comics Scenes,"Nhu-Van Nguyen, Xuan-Son Vu, Christophe Rigaud, Lili Jiang, J. Burie",2021,IEEE International Conference on Document Analysis and Recognition,,https://www.semanticscholar.org/paper/ac007e362bfd5a427c90081f48245beff4a94d1f
Computer Vision in Digital Humanities,"M. Kleppe, Matthew D. Lincoln, M. Wevers, Mark Williams, Benoit Seguin, T. Smits",2017,Digital Humanities Conference,,https://www.semanticscholar.org/paper/07b7bbe8dd59e3bd2b63babdcd43b76e019ede7d
GAN and DCN Based Multi-step Supervised Learning for Image Semantic Segmentation,"Jie Fang, Xiaoqian Cao",2018,Chinese Conference on Pattern Recognition and Computer Vision,,https://www.semanticscholar.org/paper/0018087d027bc49a512fb9443cf190a2fb6b55c0
Content-Aware Video2Comics With Manga-Style Layout,"Guangmei Jing, Yongtao Hu, Yanwen Guo, Yizhou Yu, Wenping Wang",2015,IEEE transactions on multimedia,,https://www.semanticscholar.org/paper/3a3251e0b3c54da4673b244bb408896a0f237751
Context-Informed Machine Translation of Manga using Multimodal Large Language Models,"Philip Lippmann, Konrad Skublicki, Joshua B. Tanner, Shonosuke Ishiwatari, Jie Yang",2025,International Conference on Computational Linguistics,,https://www.semanticscholar.org/paper/6b4648f75839ac90e318675c2fc76497d820a329
