Title,Authors,Publication,Year,Type,Key Findings,Relevance,Status,URL,Notes,Tags,Citation,Source
AniSora: Exploring the Frontiers of Animation Video Generation in the Sora Era,"Yudong Jiang, Baohan Xu, Siqian Yang, Mingyu Yin, Jing Liu",Qeios Ltd,2025.0,,,,To Assess,https://doi.org/10.32388/hifc4x,,,,"Awesome-AI4Animation, Awesome-Animation-Research"
APISR: Anime Production Inspired Real-World Anime Super-Resolution,"Boyang Wang, Fengyu Yang, Xihang Yu, Chao Zhang, Hanbin Zhao",IEEE,2024.0,,,,To Assess,https://doi.org/10.1109/cvpr52733.2024.02416,,,,AwesomeAnimeResearch
ARGAN: Fast Converging GAN for Animation Style Transfer,"Amirhossein Douzandeh Zenoozi, Keivan Navi, Babak Majidi",IEEE,2022.0,,,,To Assess,https://doi.org/10.1109/mvip53647.2022.9738752,,,,AwesomeAnimeResearch
Artist-Guided Semiautomatic Animation Colorization,"Harrish Thasarathan, Mehran Ebrahimi",IEEE,2019.0,,,,To Assess,https://doi.org/10.1109/iccvw.2019.00388,,,,"Awesome-AI4Animation, Awesome-Animation-Research, AwesomeAnimeResearch"
Attention-Based Unsupervised Sketch Colorization of Anime Avatar,"Sicong Zhang, Jiting Zhou",ACM,2022.0,,,,To Assess,https://doi.org/10.1145/3548608.3559316,,,,AwesomeAnimeResearch
Augmenting Conversations With Comic-Style Word Balloons,"Heng Zhang, Lifeng Zhu, Qingdi Chen, Aiguo Song, Lap-Fai Yu",Institute of Electrical and Electronics Engineers (IEEE),2023.0,,,,To Assess,https://doi.org/10.1109/thms.2022.3224767,,,,awesome-comics-understanding
Augmenting Hand-Drawn Art with Global Illumination Effects through Surface Inflation,"Matis Hudon, Sebastian Lutz, Rafael Pagés, Aljosa Smolic",ACM,2019.0,,,,To Assess,https://doi.org/10.1145/3359998.3369400,,,,AwesomeAnimeResearch
Automatic Colorization of Anime Style Illustrations Using a Two-Stage Generator,"Yeongseop Lee, Seongjin Lee",MDPI AG,2020.0,,,,To Assess,https://doi.org/10.3390/app10238699,,,,AwesomeAnimeResearch
Automatic Comic Generation with Stylistic Multi-page Layouts and Emotion-driven Text Balloon Generation,"Xin Yang, Zongliang Ma, Letian Yu, Ying Cao, Baocai Yin, Xiaopeng Wei, Qiang Zhang, Rynson W. H. Lau",Association for Computing Machinery (ACM),2021.0,,,,To Assess,https://doi.org/10.1145/3440053,,,,awesome-comics-understanding
Automatic Generation of 3D Natural Anime-like Non-Player Characters with Machine Learning,"Ruizhe Li, Masanori Nakayama, Issei Fujishiro",IEEE,2020.0,,,,To Assess,https://doi.org/10.1109/cw49994.2020.00023,,,,AwesomeAnimeResearch
Automatic Illumination of Flat-Colored Drawings by 3D Augmentation of 2D Silhouettes,"David Tschumperle, Christine Porquet, Amal Mahboubi",IEEE,2022.0,,,,To Assess,https://doi.org/10.1109/icip46576.2022.9897386,,,,AwesomeAnimeResearch
Automatic manga colorization with color style by generative adversarial nets,"Yuusuke Kataoka, Takashi Matsubara, Kuniaki Uehara",IEEE,2017.0,,,,To Assess,https://doi.org/10.1109/snpd.2017.8022768,,,,AwesomeAnimeResearch
Automatic Sketch Colorization with Tandem Conditional Adversarial Networks,"Hui Ren, Jia Li, Nan Gao",IEEE,2018.0,,,,To Assess,https://doi.org/10.1109/iscid.2018.00009,,,,AwesomeAnimeResearch
Automatic Temporally Coherent Video Colorization,"Harrish Thasarathan, Kamyar Nazeri, Mehran Ebrahimi",IEEE,2019.0,,,,To Assess,https://doi.org/10.1109/crv.2019.00033,,,,"Awesome-AI4Animation, Awesome-Animation-Research, AwesomeAnimeResearch"
C2VNet: A Deep Learning Framework Towards Comic Strip to Audio-Visual Scene Synthesis,"Vaibhavi Gupta, Vinay Detani, Vivek Khokar, Chiranjoy Chattopadhyay",Springer International Publishing,2021.0,,,,To Assess,https://doi.org/10.1007/978-3-030-86331-9_11,,,,awesome-comics-understanding
Cartoon image colorization based on emotion recognition and superpixel color resolution,"Zhi-bin Su, Yun-fang Zhang, Jia Li, Nan Gao",IEEE,2020.0,,,,To Assess,https://doi.org/10.1109/iccst50977.2020.00090,,,,AwesomeAnimeResearch
Cartoon Image Processing: A Survey,"Yang Zhao, Diya Ren, Yuan Chen, Wei Jia, Ronggang Wang, Xiaoping Liu",Springer Science and Business Media LLC,2022.0,,,,To Assess,https://doi.org/10.1007/s11263-022-01645-1,,,,AwesomeAnimeResearch
Cartoon-Flow: A Flow-Based Generative Adversarial Network for Arbitrary-Style Photo Cartoonization,"Jieun Lee, Hyeonwoo Kim, Jonghwa Shim, Eenjun Hwang",ACM,2022.0,,,,To Assess,https://doi.org/10.1145/3503161.3548094,,,,AwesomeAnimeResearch
CartoonGAN: Generative Adversarial Networks for Photo Cartoonization," , Ayeesha Siddiqha",Indospace Publications,2025.0,,,,To Assess,https://doi.org/10.55041/ijsrem40620,,,,AwesomeAnimeResearch
Cartoonize Images using TinyML Strategies with Transfer Learning,"Jashaswimalya Acharjee, Suman Deb",IEEE,2021.0,,,,To Assess,https://doi.org/10.1109/3ict53449.2021.9581835,,,,AwesomeAnimeResearch
Challenges in Procedural Multimodal Machine Comprehension: A Novel Way To Benchmark,"Pritish Sahu, Karan Sikka, Ajay Divakaran",IEEE,2022.0,,,,To Assess,https://doi.org/10.1109/wacv51458.2022.00060,,,,awesome-comics-understanding
"ChartStory: Automated Partitioning, Layout, and Captioning of Charts into Comic-Style Narratives","Jian Zhao, Shenyu Xu, Senthil Chandrasegaran, Chris Bryan, Fan Du, Aditi Mishra, Xin Qian, Yiran Li, Kwan-Liu Ma",Institute of Electrical and Electronics Engineers (IEEE),2023.0,,,,To Assess,https://doi.org/10.1109/tvcg.2021.3114211,,,,awesome-comics-understanding
Closed-Form Factorization of Latent Semantics in GANs,"Yujun Shen, Bolei Zhou",IEEE,2021.0,,,,To Assess,https://doi.org/10.1109/cvpr46437.2021.00158,,,,AwesomeAnimeResearch
Cobra: Efficient Line Art COlorization with BRoAder References,"Junhao Zhuang, Lingen Li, Xuan Ju, Zhaoyang Zhang, Chun Yuan, Ying Shan",ACM,2025.0,,,,To Assess,https://doi.org/10.1145/3721238.3730660,,,,AwesomeAnimeResearch
"CodeToon: Story Ideation, Auto Comic Generation, and Structure Mapping for Code-Driven Storytelling","Sangho Suh, Jian Zhao, Edith Law",ACM,2022.0,,,,To Assess,https://doi.org/10.1145/3526113.3545617,,,,awesome-comics-understanding
CogCartoon: Towards Practical Story Visualization,"Zhongyang Zhu, Jie Tang",Springer Science and Business Media LLC,2024.0,,,,To Assess,https://doi.org/10.1007/s11263-024-02267-5,,,,Awesome-AI4Animation
Color Interpolation for Non-Euclidean Color Spaces,"Max Zeyen, Tobias Post, Hans Hagen, James Ahrens, David Rogers, Roxana Bujack",IEEE,2018.0,,,,To Assess,https://doi.org/10.1109/scivis.2018.8823597,,,,awesome-comics-understanding
Coloring anime line art videos with transformation region enhancement network,"Ning Wang, Muyao Niu, Zhi Dou, Zhihui Wang, Zhiyong Wang, Zhaoyan Ming, Bin Liu, Haojie Li",Elsevier BV,2023.0,,,,To Assess,https://doi.org/10.1016/j.patcog.2023.109562,,,,"Awesome-AI4Animation, Awesome-Animation-Research, AwesomeAnimeResearch"
Colorization of Line Drawings with Empty Pupils,"K. Akita, Y. Morimoto, R. Tsuruno",Wiley,2020.0,,,,To Assess,https://doi.org/10.1111/cgf.14171,,,,AwesomeAnimeResearch
Comic Image Inpainting via Distance Transform,"Naoki Ono, Kiyoharu Aizawa, Yusuke Matsui",ACM,2021.0,,,,To Assess,https://doi.org/10.1145/3478512.3488607,,,,AwesomeAnimeResearch
Comic Story Analysis Based on Genre Classification,"Yuki Daiku, Olivier Augereau, Motoi Iwata, Koichi Kise",IEEE,2017.0,,,,To Assess,https://doi.org/10.1109/icdar.2017.293,,,,awesome-comics-understanding
ComicLib: A New Large-Scale Comic Dataset for Sketch Understanding,"Xin Wei, Haifeng Zhao, Ziyu Gao, Yan Zhang, Jun Zhou, Zhixiang Chen, Qidi Lu",IEEE,2022.0,,,,To Assess,https://doi.org/10.1109/dicta56598.2022.10034579,,,,awesome-comics-understanding
Comics as a Pedagogical Tool for Teaching,"Antonio Alexandre Lima, Marcello Montillo Provenza, Maria Augusta S. N. Nunes",IEEE,2022.0,,,,To Assess,https://doi.org/10.1109/laclo56648.2022.10013316,,,,awesome-comics-understanding
Computational Approaches to Comics Analysis,"Jochen Laubrock, Alexander Dunst",Wiley,2019.0,,,,To Assess,https://doi.org/10.1111/tops.12476,,,,AwesomeAnimeResearch
Conditional GAN for Small Datasets,"Komei Hiruta, Ryusuke Saito, Taro Hatakeyama, Atsushi Hashimoto, Satoshi Kurihara",IEEE,2022.0,,,,To Assess,https://doi.org/10.1109/ism55400.2022.00062,,,,awesome-comics-understanding
Content-Aware Video2Comics With Manga-Style Layout,"Guangmei Jing, Yongtao Hu, Yanwen Guo, Yizhou Yu, Wenping Wang",Institute of Electrical and Electronics Engineers (IEEE),2015.0,,,,To Assess,https://doi.org/10.1109/tmm.2015.2474263,,,,awesome-comics-understanding
COO: Comic Onomatopoeia Dataset for Recognizing Arbitrary or Truncated Texts,"Jeonghun Baek, Yusuke Matsui, Kiyoharu Aizawa",Springer Nature Switzerland,2022.0,,,,To Assess,https://doi.org/10.1007/978-3-031-19815-1_16,,,,AwesomeAnimeResearch
CPD: Faster RCNN-based DragonBall Comic Panel Detection,"Rishabh Sharma, Vinay Kukreja",IEEE,2023.0,,,,To Assess,https://doi.org/10.1109/csnt57126.2023.10134577,,,,awesome-comics-understanding
Creative Flow+ Dataset,"Maria Shugrina, Ziheng Liang, Amlan Kar, Jiaman Li, Angad Singh, Karan Singh, Sanja Fidler",IEEE,2019.0,,,,To Assess,https://doi.org/10.1109/cvpr.2019.00553,,,,AwesomeAnimeResearch
Cross-modal and Semantics-Augmented Asymmetric CycleGAN for Data-Imbalanced Anime Style Face Translation,"Shiping Deng, Kaoru Uchida, Zhengwei Yin",ACM,2021.0,,,,To Assess,https://doi.org/10.1145/3503961.3503969,,,,AwesomeAnimeResearch
CustomCrafter: Customized Video Generation with Preserving Motion and Concept Composition Abilities,"Tao Wu, Yong Zhang, Xintao Wang, Xianpan Zhou, Guangcong Zheng, Zhongang Qi, Ying Shan, Xi Li",Association for the Advancement of Artificial Intelligence (AAAI),2025.0,,,,To Assess,https://doi.org/10.1609/aaai.v39i8.32914,,,,Awesome-AI4Animation
DanbooRegion: An Illustration Region Dataset,"Lvmin Zhang, Yi Ji, Chunping Liu",Springer International Publishing,2020.0,,,,To Assess,https://doi.org/10.1007/978-3-030-58601-0_9,,,,AwesomeAnimeResearch
Data InStance Prior (DISP) in Generative Adversarial Networks,"Puneet Mangla, Nupur Kumari, Mayank Singh, Balaji Krishnamurthy, Vineeth N Balasubramanian",IEEE,2022.0,,,,To Assess,https://doi.org/10.1109/wacv51458.2022.00353,,,,AwesomeAnimeResearch
Decomposing Images into Layers with Advanced Color Blending,"Yuki Koyama, Masataka Goto",Wiley,2018.0,,,,To Assess,https://doi.org/10.1111/cgf.13577,,,,AwesomeAnimeResearch
Deep Animation Video Interpolation in the Wild,"Li Siyao, Shiyu Zhao, Weijiang Yu, Wenxiu Sun, Dimitris Metaxas, Chen Change Loy, Ziwei Liu",IEEE,2021.0,,,,To Assess,https://doi.org/10.1109/cvpr46437.2021.00652,,,,"Awesome-AI4Animation, Awesome-Animation-Research, AwesomeAnimeResearch"
Deep Edge-Aware Interactive Colorization against Color-Bleeding Effects,"Eungyeup Kim, Sanghyeon Lee, Jeonghoon Park, Somi Choi, Choonghyun Seo, Jaegul Choo",IEEE,2021.0,,,,To Assess,https://doi.org/10.1109/iccv48922.2021.01440,,,,AwesomeAnimeResearch
Deep Geometrized Cartoon Line Inbetweening,"Li Siyao, Tianpei Gu, Weiye Xiao, Henghui Ding, Ziwei Liu, Chen Change Loy",IEEE,2023.0,,,,To Assess,https://doi.org/10.1109/iccv51070.2023.00670,,,,"Awesome-AI4Animation, Awesome-Animation-Research, AwesomeAnimeResearch"
Deep Manga Colorization with Color Style Extraction by Conditional Adversarially Learned Inference,"Yuusuke Kataoka, Takashi Mastubara, Kuniaki Uehara",International Institute of Applied Informatics,2017.0,,,,To Assess,https://doi.org/10.52731/iee.v3.i4.214,,,,AwesomeAnimeResearch
Deep Normal Estimation for Automatic Shading of Hand-Drawn Characters,"Matis Hudon, Mairéad Grogan, Rafael Pagés, Aljoša Smolić",Springer International Publishing,2019.0,,,,To Assess,https://doi.org/10.1007/978-3-030-11015-4_20,,,,AwesomeAnimeResearch
Dense Multitask Learning to Reconfigure Comics,"Deblina Bhattacharjee, Sabine Süsstrunk, Mathieu Salzmann",IEEE,2023.0,,,,To Assess,https://doi.org/10.1109/cvprw59228.2023.00598,,,,awesome-comics-understanding
Developing Comic-based Learning Toolkits for Teaching Computing to Elementary School Learners,"Francisco Castro, Sangho Suh, Jane L. E, Weena Naowaprateep, Yang Shi",ACM,2022.0,,,,To Assess,https://doi.org/10.1145/3545947.3576272,,,,awesome-comics-understanding
DiffSensei: Bridging Multi-Modal LLMs and Diffusion Models for Customized Manga Generation,"Jianzong Wu, Chao Tang, Jingbo Wang, Yanhong Zeng, Xiangtai Li, Yunhai Tong",IEEE,2025.0,,,,To Assess,https://doi.org/10.1109/cvpr52734.2025.02671,,,,Awesome-AI4Animation
Diffusart: Enhancing Line Art Colorization with Conditional Diffusion Models,"Hernan Carrillo, Michaël Clément, Aurélie Bugeau, Edgar Simo-Serra",IEEE,2023.0,,,,To Assess,https://doi.org/10.1109/cvprw59228.2023.00351,,,,AwesomeAnimeResearch
Diffusion in Style,"Martin Nicolas Everaert, Marco Bocchio, Sami Arpa, Sabine Süsstrunk, Radhakrishna Achanta",IEEE,2023.0,,,,To Assess,https://doi.org/10.1109/iccv51070.2023.00214,,,,awesome-comics-understanding
Diffutoon: High-Resolution Editable Toon Shading via Diffusion Models,"Zhongjie Duan, Chengyu Wang, Cen Chen, Weining Qian, Jun Huang",International Joint Conferences on Artificial Intelligence Organization,2024.0,,,,To Assess,https://doi.org/10.24963/ijcai.2024/846,,,,AwesomeAnimeResearch
DiLight: Digital light table – Inbetweening for 2D animations using guidelines,"Leonardo Carvalho, Ricardo Marroquim, Emilio Vital Brazil",Elsevier BV,2017.0,,,,To Assess,https://doi.org/10.1016/j.cag.2017.04.001,,,,"Awesome-AI4Animation, Awesome-Animation-Research, AwesomeAnimeResearch"
Discovering Density-Preserving Latent Space Walks in GANs for Semantic Image Transformations,"Guanyue Li, Yi Liu, Xiwen Wei, Yang Zhang, Si Wu, Yong Xu, Hau-San Wong",ACM,2021.0,,,,To Assess,https://doi.org/10.1145/3474085.3475293,,,,AwesomeAnimeResearch
Discovering Interpretable Latent Space Directions of GANs Beyond Binary Attributes,"Huiting Yang, Liangyu Chai, Qiang Wen, Shuang Zhao, Zixun Sun, Shengfeng He",IEEE,2021.0,,,,To Assess,https://doi.org/10.1109/cvpr46437.2021.01200,,,,AwesomeAnimeResearch
DisenStudio: Customized Multi-Subject Text-to-Video Generation with Disentangled Spatial Control,"Hong Chen, Xin Wang, Yipeng Zhang, Yuwei Zhou, Zeyang Zhang, Siao Tang, Wenwu Zhu",ACM,2024.0,,,,To Assess,https://doi.org/10.1145/3664647.3680637,,,,Awesome-AI4Animation
DisUnknown: Distilling Unknown Factors for Disentanglement Learning,"Sitao Xiang, Yuming Gu, Pengda Xiang, Menglei Chai, Hao Li, Yajie Zhao, Mingming He",IEEE,2021.0,,,,To Assess,https://doi.org/10.1109/iccv48922.2021.01454,,,,AwesomeAnimeResearch
Do You Like Sclera? Sclera-region Detection and Colorization for Anime Character Line Drawings,"Masashi Aizawa, Yuichi Sei, Yasuyuki Tahara, Ryohei Orihara, Akihiko Ohsuga",Springer Science and Business Media LLC,2019.0,,,,To Assess,https://doi.org/10.2991/ijndc.k.190711.001,,,,AwesomeAnimeResearch
Document Classification and Page Stream Segmentation for Digital Mailroom Applications,"Albert Gordo, Marcal Rusinol, Dimosthenis Karatzas, Andrew D. Bagdanov",IEEE,2013.0,,,,To Assess,https://doi.org/10.1109/icdar.2013.128,,,,awesome-comics-understanding
DoveNet: Deep Image Harmonization via Domain Verification,"Wenyan Cong, Jianfu Zhang, Li Niu, Liu Liu, Zhixin Ling, Weiyuan Li, Liqing Zhang",IEEE,2020.0,,,,To Assess,https://doi.org/10.1109/cvpr42600.2020.00842,,,,Awesome-AI4Animation
DrawingSpinUp: 3D Animation from Single Character Drawings,"Jie Zhou, Chufeng Xiao, Miu-Ling Lam, Hongbo Fu",ACM,2024.0,,,,To Assess,https://doi.org/10.1145/3680528.3687593,,,,"Awesome-AI4Animation, Awesome-Animation-Research"
DreamVideo: High-Fidelity Image-to-Video Generation with Image Retention and Text Guidance,"Cong Wang, Jiaxi Gu, Panwen Hu, Yuanfan Guo, Xiao Dong, Hang Xu, Xiaodan Liang",IEEE,2025.0,,,,To Assess,https://doi.org/10.1109/icassp49660.2025.10887583,,,,awesome-comics-understanding
Dual Color Space Guided Sketch Colorization,"Zhi Dou, Ning Wang, Baopu Li, Zhihui Wang, Haojie Li, Bin Liu",Institute of Electrical and Electronics Engineers (IEEE),2021.0,,,,To Assess,https://doi.org/10.1109/tip.2021.3104190,,,,AwesomeAnimeResearch
Dual Loss for Manga Character Recognition with Imbalanced Training Data,"Yonggang Li, Yafeng Zhou, Yongtao Wang, Xiaoran Qin, Zhi Tang",IEEE,2021.0,,,,To Assess,https://doi.org/10.1109/icpr48806.2021.9412282,,,,awesome-comics-understanding
Dynamic Manga: Animating Still Manga via Camera Movement,"Ying Cao, Xufang Pang, Antoni B. Chan, Rynson W. H. Lau",Institute of Electrical and Electronics Engineers (IEEE),2017.0,,,,To Assess,https://doi.org/10.1109/tmm.2016.2609415,,,,awesome-comics-understanding
EigenGAN: Layer-Wise Eigen-Learning for GANs,"Zhenliang He, Meina Kan, Shiguang Shan",IEEE,2021.0,,,,To Assess,https://doi.org/10.1109/iccv48922.2021.01414,,,,AwesomeAnimeResearch
EmoDubber: Towards High Quality and Emotion Controllable Movie Dubbing,"Gaoxiang Cong, Jiadong Pan, Liang Li, Yuankai Qi, Yuxin Peng, Anton van den Hengel, Jian Yang, Qingming Huang",IEEE,2025.0,,,,To Assess,https://doi.org/10.1109/cvpr52734.2025.01479,,,,Awesome-AI4Animation
End-to-End Line Drawing Vectorization,"Hanyuan Liu, Chengze Li, Xueting Liu, Tien-Tsin Wong",Association for the Advancement of Artificial Intelligence (AAAI),2022.0,,,,To Assess,https://doi.org/10.1609/aaai.v36i4.20379,,,,AwesomeAnimeResearch
Enhanced Deep Animation Video Interpolation,"Wang Shen, Cheng Ming, Wenbo Bao, Guangtao Zhai, Li Chenn, Zhiyong Gao",IEEE,2022.0,,,,To Assess,https://doi.org/10.1109/icip46576.2022.9897279,,,,"Awesome-AI4Animation, Awesome-Animation-Research, AwesomeAnimeResearch"
Enhancement of Anime Imaging Enlargement using Modified Super-Resolution CNN,"Tanakit Intaniyom, Warinthorn Thananporn, Kuntpong Woraratpanya",IEEE,2021.0,,,,To Assess,https://doi.org/10.1109/icitee53064.2021.9611842,,,,AwesomeAnimeResearch
Estimating Image Depth in the Comics Domain,"Deblina Bhattacharjee, Martin Everaert, Mathieu Salzmann, Sabine Susstrunk",IEEE,2022.0,,,,To Assess,https://doi.org/10.1109/wacv51458.2022.00118,,,,"AwesomeAnimeResearch, awesome-comics-understanding"
Exemplar-Based Sketch Colorization with Cross-Domain Dense Semantic Correspondence,"Jinrong Cui, Haowei Zhong, Hailong Liu, Yulu Fu",MDPI AG,2022.0,,,,To Assess,https://doi.org/10.3390/math10121988,,,,AwesomeAnimeResearch
