Title,key
Cartoon-Flow: A Flow-Based Generative Adversarial Network for Arbitrary-Style Photo Cartoonization,101
CartoonGAN: Generative Adversarial Networks for Photo Cartoonization,102
Cartoonize Images using TinyML Strategies with Transfer Learning,103
CartoonRenderer: An Instance-based Multi-Style Cartoon Image Translator,104
CAST: CHARACTER LABELING IN ANIMATION USING SELF-SUPERVISION BY TRACKING,105
CAST: Character Labeling in Animation Using Self‐supervision by Tracking,106
cGAN-based Manga Colorization Using a Single Training Image,107
Challenges in Procedural Multimodal Machine Comprehension: A Novel Way To Benchmark,108
Champ: Controllable and Consistent Human Image Animation with 3D Parametric Guidance,109
Character-Centric Story Visualization via Visual Planning and Token Alignment,110
"ChartStory: Automated Partitioning, Layout, and Captioning of Charts into Comic-Style Narratives",111
Classification Representations Can be Reused for Downstream Generations,112
Closed-Form Factorization of Latent Semantics in GANs,113
CNN based Extraction of Panels/Characters from Bengali Comic Book Page Images,114
Cobra: Efficient Line Art COlorization with BRoAder References,115
"CodeToon: Story Ideation, Auto Comic Generation, and Structure Mapping for Code-Driven Storytelling",116
CogCartoon: Towards Practical Story Visualization,117
Collaborative Neural Rendering using Anime Character Sheets,118
Color Attributes for Object Detection,119
Color Interpolation for Non-Euclidean Color Spaces,120
ColorFlow: Retrieval-Augmented Image Sequence Colorization,121
Coloring anime line art videos with transformation region enhancement network,122
Colorization for Anime Sketches with Cycle-Consistent Adversarial Network,123
Colorization of Line Drawings with Empty Pupils,124
ColorizeDiffusion v2: Enhancing Reference-based Sketch Colorization Through Separating Utilities,125
ColorizeDiffusion: Adjustable Sketch Colorization with Reference Image and Text,126
Combating Mode Collapse in GANs via Manifold Entropy Estimation,127
Comic Character Animation Using Bayesian Estimation,128
Comic Image Inpainting via Distance Transform,129
Comic Live Chat Communication Tool Based on Concept of Downgrading,130
Comic MTL: Optimized Multi-Task Learning for Comic Book Image Analysis,131
Comic Story Analysis Based on Genre Classification,132
Comic-Guided Speech Synthesis,133
ComiCap: A VLMs pipeline for dense captioning of Comic Panels,134
ComicBERT: A Transformer Model and Pre-training Strategy for Contextual Understanding in Comics,135
ComicGAN: Text-to-Comic Generative Adversarial Network,136
ComicLib: A New Large-Scale Comic Dataset for Sketch Understanding,137
Comicolorization: Semi-Automatic Manga Colorization,138
ComicQA: Contextual Navigation Aid by Hyper-Comic Representation,139
Comics as a Pedagogical Tool for Teaching,140
Comics Datasets Framework: Mix of Comics datasets for detection benchmarking,141
Comics for Everyone: Generating Accessible Text Descriptions for Comic Strips,142
CoMix: A Comprehensive Benchmark for Multi-Task Comic Understanding,143
Comixify: Transform video into a comics,144
Competition on Multimodal Emotion Recognition on Comics Scenes,145
Computational Approaches to Comics Analysis,146
Conditional GAN for Small Datasets,147
Content-Aware Video2Comics With Manga-Style Layout,148
Context-Informed Machine Translation of Manga using Multimodal Large Language Models,149
Continual few-shot patch-based learning for anime-style colorization ,150
Controlling StyleGANs Using Rough Scribbles via One-shot Learning,151
COO: Comic Onomatopoeia Dataset for Recognizing Arbitrary or Truncated Texts,152
COO/ Comic Onomatopoeia Dataset for Recognizing Arbitrary or Truncated Texts,153
CoPE: Conditional image generation using Polynomial Expansions,154
CPD: Faster RCNN-based DragonBall Comic Panel Detection,155
CPTNet: Cascade Pose Transform Network for Single Image Talking Head Animation,156
Cracking the Code of Juxtaposition: Can AI Models Understand the Humorous Contradictions,157
Creative Flow+ Dataset,158
Cross-Domain and Disentangled Face Manipulation with 3D Guidance,159
Cross-Domain Style Mixing for Face Cartoonization,160
Cross-Domain Weakly-Supervised Object Detection through Progressive Domain Adaptation,161
Cross-modal and Semantics-Augmented Asymmetric CycleGAN for Data-Imbalanced Anime Style Face Translation,162
CustomCrafter: Customized Video Generation with Preserving Motion and Concept Composition Abilities,163
DA-GAN: Instance-level Image Translation by Deep Attention Generative Adversarial Networks,164
"DAF:RE: A CHALLENGING, CROWD-SOURCED, LARGE-SCALE, LONG-TAILED DATASET FOR ANIME CHARACTER RECOGNITION",165
DanbooRegion: An Illustration Region Dataset,166
DASS-Detector: Domain-Adaptive Self-Supervised Pre-Training for Face \& Body Detection in Drawings,167
Data InStance Prior (DISP) in Generative Adversarial Networks,168
DATA INSTANCE PRIOR FOR TRANSFER LEARNING IN GANS,169
Decomposing Images into Layers with Advanced Color Blending,170
Deep Animation Video Interpolation in the Wild,171
Deep Edge-Aware Interactive Colorization against Color-Bleeding Effects,172
Deep Extraction of Manga Structural Lines,173
Deep Geometrized Cartoon Line Inbetweening,174
Deep Learning-Based Classification of the Polar Emotions of “Moe”-Style Cartoon Pictures,175
Deep Line Art Video Colorization with a Few References,176
Deep Manga Colorization with Color Style Extraction by Conditional Adversarially Learned Inference,177
Deep Normal Estimation for Automatic Shading of Hand-Drawn Characters,178
Deep Sketch-guided Cartoon Video Inbetweening,179
Deep Unfolding with Normalizing Flow Priors for Inverse Problems,180
Deep-Eyes: Fully Automatic Anime Character Colorization with Painting of Details on Empty Pupils,181
Dense Multitask Learning to Reconfigure Comics,182
Depixelizing Pixel Art,183
Designing a Question-Answering System for Comic Contents,184
Developing Comic-based Learning Toolkits for Teaching Computing to Elementary School Learners,185
Diff-Foley: Synchronized Video-to-Audio Synthesis with Latent Diffusion Models,186
DiffSensei: Bridging Multi-Modal LLMs and Diffusion Models for Customized Manga Generation,187
Diffusart: Enhancing Line Art Colorization with Conditional Diffusion Models,188
Diffusion in Style,189
Diffutoon: High-Resolution Editable Toon Shading via Diffusion Models,190
DiLight: Digital light table – Inbetweening for 2D animations using guidelines,191
Discovering Density-Preserving Latent Space Walks in GANs for Semantic Image Transformations,192
Discovering Interpretable Latent Space Directions of GANs Beyond Binary Attributes,193
DisenStudio: Customized Multi-Subject Text-to-Video Generation with Disentangled Spatial Control,194
Disentangled and controllable sketch creation based ondisentangling the structure and color enhancement,195
Disentangling Style and Content in Anime Illustrations,196
DisUnknown: Distilling Unknown Factors for Disentanglement Learning,197
Do Generative Models Know Disentanglement? Contrastive Learning is All You Need,198
Do You Like Sclera? Sclera-region Detection and Colorization for Anime Character Line Drawings,199
Document Classification and Page Stream Segmentation for Digital Mailroom Applications,200
DoveNet: Deep Image Harmonization via Domain Verification,201
Dr.Bokeh: DiffeRentiable Occlusion-aware Bokeh Rendering,202
DrawingSpinUp: 3D Animation from Single Character Drawings,203
DreamArtist: Towards Controllable One-Shot Text-to-Image Generation via Positive-Negative Prompt-Tuning,204
DreamDance: Animating Character Art via Inpainting Stable Gaussian Worlds,205
DreamRunner: Fine-Grained Storytelling Video Generation with Retrieval-Augmented Motion Adaptation,206
DreamTuner: Single Image is Enough for Subject-Driven Generation,207
DreamVideo: High-Fidelity Image-to-Video Generation with Image Retention and Text Guidance,208
DreamWaltz: Make a Scene with Complex 3D Animatable Avatars,209
Dual Color Space Guided Sketch Colorization,210
Dual Loss for Manga Character Recognition with Imbalanced Training Data,211
Dynamic Manga: Animating Still Manga via Camera Movement,212
DyStyle: Dynamic Neural Network for Multi-Attribute-Conditioned Style Editing,213
Efficient Continual Adaptation for Generative Adversarial Networks,214
EigenGAN: Layer-Wise Eigen-Learning for GANs,215
Eliminating Gradient Conflict in Reference-based Line-Art Colorization,216
EmoDubber: Towards High Quality and Emotion Controllable Movie Dubbing,217
Encoding in Style: A StyleGAN Encoder for Image-to-Image Translation,218
End-to-End Line Drawing Vectorization,219
Enhanced Deep Animation Video Interpolation,220
Enhancement of Anime Imaging Enlargement using Modified Super-Resolution CNN,221
Enhancing the Accessibility for All of Digital Comic Books,222
Erasing Appearance Preservation in Optimization-based Smoothing,223
Estimating Image Depth in the Comics Domain,224
Exemplar-Based Sketch Colorization with Cross-Domain Dense Semantic Correspondence,225
Exploiting Aliasing for Manga Restoration,226
Exploring inbetween charts with trajectory-guided sliders for cutout animation,227
Exploring Phrase Grounding without Training: Contextualisation and Extension to Text-Based Image Retrieval,228
Exploring Sketch-based Character Design Guided by Automatic Colorization,229
Extraction of Frame Sequences in the Manga Context,230
Facial Landmark Detection for Manga Images,231
FairyGen: Storied Cartoon Video from a Single Child-Drawn Character,232
Fast Leak-Resistant Segmentation for Anime Line Art,233
Feature Quantization Improves GAN Training,234
FEW-SHOT ADAPTATION OF GENERATIVE ADVERSARIAL NETWORKS,235
Few-shot Knowledge Transfer for Fine-grained Cartoon Face Generation,236
Few-shot Semantic Image Synthesis Using StyleGAN Prior,237
Fine-Grained Control of Artistic Styles in Image Generation,238
FINE-TUNING STYLEGAN2 FOR CARTOON FACE GENERATION,239
FlatMagic: Improving Flat Colorization through AI-driven Design for Digital Comic Professionals,240
Floating No More: Object-Ground Reconstruction from a Single Image,241
Foley Music: Learning to Generate Music from Videos,242
FoleyGen: Visually-Guided Audio Generation,243
Framer: Interactive Frame Interpolation,244
Freeze the Discriminator: a Simple Baseline for Fine-Tuning GANs,245
FRESCO: Spatial-Temporal Correspondence for Zero-Shot Video Translation,246
From Speaker to Dubber: Movie Dubbing with Prosody and Duration Consistency Learning,247
Full-body High-resolution Anime Generation with Progressive Structure-conditional Generative Adversarial Networks,248
Fully Automatic Colorization for Anime Character Considering Accurate Eye Colors,249
GAN Memory with No Forgetting,250
GAN-based Multi-Style Photo Cartoonization,251
GANILLA: Generative adversarial networks for image to illustration translation,252
"GANs N’ Roses: Stable, Controllable, Diverse Image to Image Translation (works for videos too!)",253
GCN-Based Multi-Modal Multi-Label Attribute Classification in Anime Illustration Using Domain-Specific Semantic Features,254
Gemini 1.5: Unlocking multimodal understanding across millions of tokens of context,255
Generate Novel Image Styles using Weighted Hybrid Generative Adversarial Nets,256
"Generating ""Ideal"" Anime Opening Frames Using Neural Networks",257
Generating Anime from Real Human Image with Adversarial Training,258
Generating Coherent Comic with Rich Story Using ChatGPT and Stable Diffusion,259
Generating Digital Painting Lighting Effects via RGB-space Geometry,260
Generating Full-Body Standing Figures of Anime Characters and Its Style Transfer by GAN,261
Generating Manga from Illustrations via Mimicking Manga Creation Workflow,262
Generating Manga from Illustrations via Mimicking Manga Workflow,263
Generating Visual Stories with Grounded and Coreferent Characters,264
Generative Adversarial Networks for photo to Hayao Miyazaki style cartoons,265
Generative AI for Cel-Animation: A Survey,266
Generative Omnimatte: Learning to Decompose Video into Layers,267
Generative Probabilistic Image Colorization,268
Globally Optimal Toon Tracking,269
"Good Artists Copy, Great Artists Steal: Model Extraction Attacks Against Image Translation Generative Adversarial Networks",270
GPT-4,271
Graph Jigsaw Learning for Cartoon Face Recognition,272
Graph Matching based Anime Colorization with Multiple References,273
Grounding DINO: Marrying DINO with Grounded Pre-Training for Open-Set Object Detection,274
GroundVLP: Harnessing Zero-shot Visual Grounding from Vision-Language Pre-training and Open-Vocabulary Object Detection,275
Guiding Users to Where to Give Color Hints for Efficient Interactive Sketch Colorization via Unsupervised Region Prioritization,276
Hair Shading Style Transfer for Manga with cGAN,277
Hierarchical Feature Warping and Blending for Talking Head Animation,278
Hierarchical Multi-Label Attribute Classification With Graph Convolutional Networks on Anime Illustration,279
High-Resolution Image Harmonization via Collaborative Dual Transformations,280
High-Resolution Image Synthesis with Latent Diffusion Models,281
HistoGAN: Controlling Colors of GAN-Generated and Real Images via Color Histograms,282
Histogram of Exclamation Marks and Its Application for Comics Analysis,283
HoLLMwood: Unleashing the Creativity of Large Language Models in Screenwriting via Role Playing,284
How to train your conditional GAN: An approach using geometrically structured latent manifolds,285
HRInversion: High-Resolution GAN Inversion for Cross-Domain Image Synthesis,286
Human-Art: A Versatile Human-Centric Dataset Bridging Natural and Artificial Scenes,287
Hyprogan: Breaking the Dimensional wall From Human to Anime,288
I Hear Your True Colors: Image Guided Audio Generation,289
Identity-Aware Semi-Supervised Learning for Comic Character Re-Identification,290
Illustration2Vec: A Semantic Vector Representation of Illustrations,291
Image Colorization: A Survey and Dataset,292
Image Generation From Small Datasets via Batch Statistics Adaptation,293
Image Referenced Sketch Colorization Based on Animation Creation Workflow,294
Image-to-Image Translation with Conditional Adversarial Networks,295
Improving Generation and Evaluation of Visual Stories via Semantic Consistency,296
Improving Reference-Based Image Colorization For Line Arts Via Feature Aggregation And Contrastive Learning,297
Improving Shape Deformation in Unsupervised Image-to-Image Translation,298
Improving the Perceptual Quality of 2D Animation Interpolation,299
Improving The Quality Of Illustrations: Transforming Amateur Illustrations To A Professional Standard,300
Ink-and-Ray: Bas-Relief Meshes for Adding Global Illumination Effects to Hand-Drawn Characters,301
Inkn'hue: Enhancing Manga Colorization from Multiple Priors with Alignment Multi-Encoder VAE,302
Instance-guided Cartoon Editing with a Large-scale Dataset,303
"Integrating Visuospatial, Linguistic and Commonsense Structure intoStory Visualization",304
Intelligent Grimm -- Open-ended Visual Storytelling via Latent Diffusion Models,305
Interactive Anime Sketch Colorization with Style Consistency via a Deep Residual Neural Network,306
Interactive Cartoonization with Controllable Perceptual Factors,307
Interactive Data Comics,308
Interactive Manga Colorization with Fast Flat Coloring,309
InternVL: Scaling up Vision Foundation Models and Aligning for Generic Visual-Linguistic Tasks,310
Interpolation based Anime Face Style Transfer,311
Intrinsic Image Harmonization,312
Investigating Neural Networks and Transformer Models for Enhanced Comic Decoding,313
Joint Geometric-Semantic Driven Character Line Drawing Generation,314
Joint Stroke Tracing and Correspondence for 2D Animation,315
JoJoGAN: One Shot Face Stylization,316
KidsGUARD: Fine Grained Approach for Child Unsafe Video Representation and Detection,317
L2M-GAN: Learning to Manipulate Latent Space Semantics for Facial Attribute Editing,318
Landmark Assisted CycleGAN for Cartoon Face Generation,319
Language-Guided Face Animation by Recurrent StyleGAN-based Generator,320
LANIT: Language-Driven Image-to-Image Translation for Unlabeled Data,321
Large Language Models as Manga Translators: A Case Study,322
Late-resizing: A Simple but Effective Sketch Extraction Strategy for Improving Generalization of Line-art Colorization,323
LayerAnimate: Layer-specific Control for Animation,324
LayoutGAN: Generating Graphic Layouts with Wireframe Discriminators,325
Learning Consensus Representation for Weak Style Classification,326
"Learning from the Past: Meta-Continual Learning withKnowledge Embedding for Jointly Sketch, Cartoon, andCaricature Face Recognition",327
Learning Inclusion Matching for Animation Paint Bucket Coloriation,328
Learning Inclusion Matching for Animation Paint Bucket Colorization,329
Learning Inclusion Matching for Animation Paint Bucket Colorization ,330
Learning to Cartoonize Using White-box Cartoon Representations,331
Learning to Dub Movies via Hierarchical Prosody Models,332
Learning to Incorporate Texture Saliency Adaptive Attention to Image Cartoonization,333
Learning to Shadow Hand-drawn Sketches,334
Learning to Simplify: Fully Convolutional Networks for Rough Sketch Cleanup,335
Line Art Colorization Based on Explicit Region Segmentation,336
Line Art Colorization with Concatenated Spatial Attention,337
Line Art Correlation Matching Feature Transfer Network for Automatic Animation Colorization,338
Line-Based Drawing Style Description for Manga Classification,339
Line-Wise Text Identification in Comic Books: A Support Vector Machine-Based Approach,340
LinkTo-Anime: A 2D Animation Optical Flow Dataset from 3D Model Rendering,341
LongAnimation: Long Animation Generation with Dynamic Global-Local Memory,342
LVCD: Reference-based Lineart Video Colorization with Diffusion Models,343
LVCD: Reference-based Lineart Video Colorization with Diffusion Models ,344
M2C: Towards Automatic Multimodal Manga Complement,345
"MagicAnime: A Hierarchically Annotated, Multimodal and Multitasking Dataset with Benchmarks for Cartoon Animation Generation",346
Make-A-Story: Visual Memory Conditioned Consistent Story Generation,347
Make-A-Storyboard: A General Framework for Storyboard with Disentangled and Merged Control,348
MakeItTalk: Speaker-Aware Talking-Head Animation,349
Making Robots Draw A Vivid Portrait In Two Minutes,350
Manga Colorization,351
Manga Content Analysis Using Physiological Signals,352
Manga Filling Style Conversion with Screentone Variational Autoencoder,353
Manga Generation via Layout-controllable Diffusion,354
Manga Rescreening with Interpretable Screentone Representation,355
Manga Text Detection with Manga-Specific Data Augmentation and Its Applications on Emotion Analysis,356
Manga Vectorization and Manipulation with Procedural Simple Screentone,357
Manga-MMTL: Multimodal Multitask Transfer Learning for Manga Character Analysis,358
Manga109Dialog A Large-scale Dialogue Dataset for Comics Speaker Detection,359
Manga109Dialog: A Large-scale Dialogue Dataset for Comics Speaker Detection,360
MangaGAN: Unpaired Photo-to-Manga Translation Based on The Methodology of Manga Drawing,361
MANGAN: ASSISTING COLORIZATION OF MANGA CHARACTERS CONCEPT ART USING CONDITIONAL GAN,362
MangaNinja: Line Art Colorization with Precise Reference Following,363
MangaUB: A Manga Understanding Benchmark for Large Multimodal Models,364
MaRU: A Manga Retrieval and Understanding System Connecting Vision and Language,365
MARVEL: Raster Gray-level Manga Vectorization via Primitive-wise Deep Reinforcement Learning,366
Mastering Sketching: Adversarial Augmentation for Structured Prediction,367
MeLFusion: Synthesizing Music from Image and Language Cues using Diffusion Models,368
Method for Automatic E-Comic Scene Frame Extraction for Reading Comic on Mobile Devices,369
Method for Real Time Text Extraction of Digital Manga Comic,370
MikuDance: Animating Character Art with Mixed Motion Dynamics,371
MimicMotion: High-Quality Human Motion Video Generation with Confidence-aware Pose Guidance,372
Mind the Gap: Domain Gap Control for Single Shot Domain Adaptation for Generative Adversarial Networks,373
Mind the Time: Temporally-Controlled Multi-Event Video Generation,374
MineGAN: effective knowledge transfer from GANs to target domains with few images,375
MineGAN++: Mining Generative Models for Efficient Knowledge Transfer to Limited Data Domains,376
Modeling Artistic Workflows for Image Generation and Editing,377
MontageGAN: Generation and Assembly of Multiple Components by GANs,378
Motion-Conditioned Image Animation for Video Editing,379
Movie2Comics: Towards a Lively Video Content Presentation,380
MulT: An End-to-End Multitask Learning Transformer,381
Multi-CartoonGAN for Conditional Artistic Face Translation,382
Multi-Density Sketch-to-Image Translation Network,383
Multi-modal Segment Assemblage Network for Ad Video Editing with Importance-Coherence Reward,384
Multi-Teacher Knowledge Distillation For Text Image Machine Translation,385
Multimodal Persona Based Generation of Comic Dialogs,386
Multimodal Transformer for Comics Text-Cloze,387
Neural Optimal Transport,388
Object Detection for Comics using Manga109 Annotations,389
ObjectDrop: Bootstrapping Counterfactuals for Photorealistic Object Removal and Insertion,390
Occlusion-Aware Manga Character Re-Identification with Self-Paced Contrastive Learning,391
One missing peace in Vision & Language: A survey on Comics Understanding,392
One missing piece in Vision and Language: A Survey on Comics Understanding,393
One-shot Line Extraction from Color Illustrations,394
Open-Vocabulary DETR with Conditional Matching,395
Optical Flow Based Line Drawing Frame Interpolation Using Distance Transform to Support Inbetweenings,396
Outline Colorization through Tandem Adversarial Networks,397
Overcoming Long-term Catastrophic Forgetting through Adversarial Neural Pruning and Synaptic Consolidation,398
Page Stream Segmentation with Convolutional Neural Nets Combining Textual and Visual Features,399
Paint Bucket Colorization Using Anime Character Color Design Sheets,400
PAINTING STYLE-AWARE MANGA COLORIZATION BASED ON GENERATIVE ADVERSARIAL NETWORKS,401
PaintsTorch: a User-Guided Anime Line Art Colorization Tool with Double Generator Conditional Adversarial Network,402
Panel and Speech Balloon Extraction from Comic Books,403
Panel Tracking for the Extraction and the Classification of Speech Balloons,404
Panel-Page-Aware Comic Genre Understanding,405
PAniC-3D: Stylized Single-view 3D Reconstruction from Portraits of Anime Characters,406
Parsing-Conditioned Anime Translation: A New Dataset and Method,407
Pastiche Master: Exemplar-Based High-Resolution Portrait Style Transfer,408
PCT-Net: Full Resolution Image Harmonization Using Pixel-Wise Color Transformations,409
Perceptual-aware Sketch Simplification Based on Integrated VGG Layers,410
Personalised CLIP or: How to Find Your Vacation Videos,411
Personalized Comic Story Generation,412
PHOG Analysis of Self-Similarity in Aesthetic Images,413
Photorealistic Video Generation with Diffusion Models,414
PhysAnimator: Physics-Guided Generative Cartoon Animation,415
PI-REC: Progressive Image Reconstruction Network With Edge and Color Domain,416
PMSGAN: Parallel Multistage GANs for Face Image Translation,417
Pose Estimation of Anime/Manga Characters: A Case for Synthetic Data,418
Potrace : A Polygon-Based Tracing Algorithm,419
Progressive Deep Feature Learning for Manga Character Recognition via Unlabeled Training Data,420
Progressive Full Data Convolutional Neural Networks for Line Extraction from Anime-Style Illustrations,421
PromptFix: You Prompt and We Fix the Photo,422
Pseudo-Supervised Learning for Semantic Multi-Style Transfer,423
"Qwen-VL: A Versatile Vision-Language Model for Understanding, Localization, Text Reading, and Beyond",424
RAG: Facial Attribute Editing by Learning Residual Attributes,425
Raster Manga Vectorization via Primitive-wise Deep Reinforcement Learning,426
Re:Draw -- Context Aware Translation as a Controllable Method for Artistic Production,427
Real-ESRGAN: Training Real-World Blind Super-Resolution with Pure Synthetic Data,428
Real-Time Data-Driven Interactive Rough Sketch Inking,429
Recognizing Text Elements for SVG Comic Compression and Its Novel Applications,430
Reference Based Sketch Extraction via Attention Mechanism,431
Reference-base Image Composition with Sketch via Structure-aware Diffusion Model,432
Reference-based Manga Colorization by Graph Correspondence Using Quadratic Programming,433
Reference-Based Sketch Image Colorization using Augmented-Self Reference and Dense Semantic Correspondence,434
Reference-guided structure-aware deep sketch colorization for cartoons,435
Reframe Anything: LLM Agent for Open World Video Reframing,436
Relation Analysis between Speech Balloon Shapes and Their Serif Descriptions in Comic,437
Research and Development of the Generation in Japanese Manga Based on Frontal Face Image,438
Robust Manga Page Colorization via Coloring Latent Space,439
RPGAN: GANs Interpretability via Random Routing,440
Sakuga-42M Dataset: Scaling Up Cartoon Research ,441
Scalable Comic-like Video Summaries and Layout Disturbance,442
Scaling Concept With Text-Guided Diffusion Models,443
Scaling In-the-Wild Training for Diffusion-based Illumination Harmonization and Editing by Imposing Consistent Light Transport,444
Scenimefy: Learning to Craft Anime Scene via Semi-Supervised Image-to-Image Translation,445
Seamless Manga Inpainting with Semantics Awareness,446
